ID_NUM,IND_ACCDA,IND_ACCIV,TOTAL_MU30DF,TOTAL_HG30DF,TOTAL_HL30DF,FECHA_ACCIDENTE,HORA_ACCIDENTE,MES_1F,ANYO,CCAA_1F,PROVINCIA_1F,COD_MUNICIPIO,CARRETERA,KM,SENTIDO_1F,TIPO_VIA_3F,TITULARIDAD_VIA_2F,TIPO_ANIMAL_1F,TIPO_ANIMAL_2F
202402235890,1,0,0,0,0,22/1/2024,1:50,1,2024,7,2,00000,CM-332,"43,1",1,2,2,8,1
202402235891,1,0,0,0,0,6/4/2024,23:30,4,2024,7,2,00000,CM-332,"47,819",1,2,2,3,1
202402235892,1,0,0,0,0,15/5/2024,21:45,5,2024,7,2,00000,CM-332,42,1,2,2,2,1
202402235893,1,0,0,0,0,6/1/2024,20:30,1,2024,7,2,02003,AB-518,"9,78",1,2,3,20,2
202402235894,1,0,0,0,0,8/1/2024,14:15,1,2024,7,2,02003,N-322,"347,5",1,2,1,20,2
202402235895,1,0,0,0,0,20/1/2024,15:30,1,2024,7,2,02003,N-430,"508,3",2,2,1,1,1
202402235896,1,0,0,0,0,21/1/2024,14:40,1,2024,7,2,02003,N-322,343,2,2,1,1,1
202402235897,1,0,0,0,0,30/1/2024,19:45,1,2024,7,2,02003,AB-104,"12,2",1,2,3,20,2
202402235898,1,0,0,0,0,31/1/2024,3:55,1,2024,7,2,02003,A-32,"226,9",1,1,1,8,1
202402235899,1,0,0,0,0,7/2/2024,8:00,2,2024,7,2,02003,N-322,"171,4",1,2,1,8,1
202402235900,1,0,0,0,0,17/2/2024,19:40,2,2024,7,2,02003,N-322,"372,6",2,2,1,8,1
202402235901,1,0,0,0,0,28/2/2024,22:15,2,2024,7,2,02003,N-322,"371,1",1,2,1,8,1
202402235902,1,0,0,0,0,16/3/2024,23:15,3,2024,7,2,02003,CM-3203,18,1,2,2,8,1
202402235903,1,0,0,0,0,31/3/2024,22:30,3,2024,7,2,02003,N-322,"370,4",1,2,1,8,1
202402235904,1,0,0,0,0,1/4/2024,7:15,4,2024,7,2,02003,AB-518,"2,016",2,2,3,20,2
202402235905,1,0,0,0,0,11/4/2024,3:30,4,2024,7,2,02003,CM-3203,"4,575",2,2,2,1,1
202402235906,1,0,0,0,0,12/4/2024,1:00,4,2024,7,2,02003,A-31,"76,1",2,1,1,8,1
202402235907,1,0,0,0,0,21/4/2024,4:05,4,2024,7,2,02003,A-31,65,1,1,1,23,2
202402235908,1,0,0,0,0,23/4/2024,21:30,4,2024,7,2,02003,A-30,"36,3",2,1,1,20,2
202402235909,1,0,0,0,0,1/5/2024,21:55,5,2024,7,2,02003,AB-104,"3,487",1,2,3,20,2
202402235910,0,1,0,1,0,10/5/2024,22:30,5,2024,7,2,02003,A-31,"73,77",1,2,1,8,1
202402235911,1,0,0,0,0,2/6/2024,0:00,6,2024,7,2,02003,CM-332,"8,12",2,2,2,8,1
202402235912,1,0,0,0,0,3/6/2024,11:15,6,2024,7,2,02003,N-322,"352,2",1,2,1,17,1
202402235913,1,0,0,0,0,11/6/2024,2:00,6,2024,7,2,02003,AB-400,"7,403",2,2,3,8,1
202402235914,1,0,0,0,0,13/6/2024,17:10,6,2024,7,2,02003,A-31,"75,5",2,1,1,20,2
202402235915,1,0,0,0,0,29/6/2024,4:30,6,2024,7,2,02003,CM-3203,"19,2",2,2,2,8,1
202402235916,1,0,0,0,0,7/7/2024,9:00,7,2024,7,2,02003,N-322,359,2,1,1,1,1
202402235917,1,0,0,0,0,8/7/2024,4:40,7,2024,7,2,02003,AB-400,"6,528",2,2,3,8,1
202402235918,1,0,0,0,0,19/7/2024,1:40,7,2024,7,2,02003,A-30,34,1,1,1,0,0
202402235919,1,0,0,0,0,23/7/2024,23:35,7,2024,7,2,02003,N-322,348,2,2,1,20,2
202402235920,1,0,0,0,0,21/7/2024,4:07,7,2024,7,2,02003,A-30,11,2,1,1,1,1
202402235921,1,0,0,0,0,10/8/2024,7:50,8,2024,7,2,02003,CM-3218,"7,231",1,2,2,20,2
202402235922,1,0,0,0,0,24/8/2024,1:40,8,2024,7,2,02003,A-31,"73,7",2,1,1,8,1
202402235923,1,0,0,0,0,26/8/2024,3:00,8,2024,7,2,00000,N-322,"378,1",1,2,1,8,1
202402235924,1,0,0,0,0,2/9/2024,10:15,9,2024,7,2,02003,CM-332,4,2,2,2,17,1
202402235925,1,0,0,0,0,12/9/2024,21:00,9,2024,7,2,02003,A-31,"78,8",2,1,1,20,2
202402235926,1,0,0,0,0,13/9/2024,8:15,9,2024,7,2,02069,A-31,"36,8",1,1,1,20,2
202402235927,1,0,0,0,0,16/9/2024,0:30,9,2024,7,2,02003,N-322,371,2,2,1,8,1
202402235928,1,0,0,0,0,17/9/2024,21:00,9,2024,7,2,02003,N-322,"368,5",2,2,1,8,1
202402235929,1,0,0,0,0,18/9/2024,8:00,9,2024,7,2,02003,AB-400,"2,8",1,2,3,9,1
202402235930,1,0,0,0,0,24/9/2024,5:15,9,2024,7,2,02003,N-322,342,2,2,1,8,1
202402235931,1,0,0,0,0,3/10/2024,3:55,10,2024,7,2,02003,A-30,"4,7",1,1,1,8,1
202402235932,1,0,0,0,0,5/10/2024,20:15,10,2024,7,2,02003,N-322,"336,779",1,2,1,8,1
202402235933,1,0,0,0,0,6/10/2024,20:30,10,2024,7,2,02003,CM-3203,"11,1",1,2,2,8,1
202402235934,1,0,0,0,0,7/10/2024,18:30,10,2024,7,2,02003,A-31,75,1,1,1,20,2
202402235935,1,0,0,0,0,11/10/2024,19:10,10,2024,7,2,02003,N-322,352,1,2,1,20,2
202402235936,1,0,0,0,0,14/10/2024,22:25,10,2024,7,2,02003,N-322,"370,374",2,2,1,8,1
202402235937,1,0,0,0,0,17/10/2024,4:45,10,2024,7,2,02003,A-30,"35,5",2,1,1,20,2
202402235938,1,0,0,0,0,29/10/2024,7:10,10,2024,7,2,02003,CM-3218,"4,5",2,2,2,16,1
202402235939,1,0,0,0,0,31/10/2024,11:30,10,2024,7,2,02003,CM-220,"24,5",1,2,2,1,1
202402235940,1,0,0,0,0,13/11/2024,11:00,11,2024,7,2,02003,A-31,67,1,1,1,20,2
202402235941,1,0,0,0,0,15/11/2024,21:15,11,2024,7,2,02003,AB-518,8,2,2,3,20,2
202402235942,1,0,0,0,0,18/11/2024,19:30,11,2024,7,2,02003,N-430,494,1,2,1,8,1
202402235943,1,0,0,0,0,22/11/2024,20:15,11,2024,7,2,02003,AB-503,"2,209",1,2,3,8,1
202402235944,1,0,0,0,0,23/11/2024,20:55,11,2024,7,2,02003,N-322,371,2,2,1,8,1
202402235945,1,0,0,0,0,26/11/2024,21:00,11,2024,7,2,02003,N-322,"373,8",1,2,1,8,1
202402235946,1,0,0,0,0,28/11/2024,21:00,11,2024,7,2,02003,CM-3203,"11,1",2,2,2,8,1
202402235947,1,0,0,0,0,5/12/2024,17:45,12,2024,7,2,02003,N-322,345,2,2,1,20,2
202402235948,1,0,0,0,0,5/12/2024,21:30,12,2024,7,2,02003,CM-3218,"0,4",1,2,2,8,1
202402235949,1,0,0,0,0,6/12/2024,7:30,12,2024,7,2,02003,N-322,336,2,2,1,18,1
202402235950,1,0,0,0,0,11/12/2024,20:00,12,2024,7,2,02003,N-322,339,1,2,1,8,1
202402235951,1,0,0,0,0,18/12/2024,19:35,12,2024,7,2,02003,CM-220,"24,8",1,2,2,8,1
202402235952,1,0,0,0,0,20/12/2024,20:50,12,2024,7,2,02003,N-322,"338,4",1,2,1,8,1
202402235953,1,0,0,0,0,20/12/2024,21:20,12,2024,7,2,02003,N-322,"372,5",1,2,1,8,1
202402235954,1,0,0,0,0,23/12/2024,16:20,12,2024,7,2,02003,N-322,347,2,2,1,20,2
202402235955,1,0,0,0,0,22/11/2024,7:00,11,2024,7,2,00000,CM-412,289,2,2,2,0,0
202402235956,1,0,0,0,0,26/6/2024,1:30,6,2024,7,2,00000,N-322,412,1,2,1,17,1
202402235957,1,0,0,0,0,20/9/2024,7:15,9,2024,7,2,00000,N-322,"409,5",2,2,1,20,2
202402235958,1,0,0,0,0,22/2/2024,5:55,2,2024,7,2,00000,CM-3203,38,2,2,2,2,1
202402235959,1,0,0,0,0,27/7/2024,0:05,7,2024,7,2,00000,CM-3203,"39,4",1,2,2,8,1
202402235960,1,0,0,0,0,8/9/2024,9:20,9,2024,7,2,00000,CM-3203,"38,345",1,2,2,3,1
202402235961,1,0,0,0,0,21/10/2024,7:50,10,2024,7,2,00000,CM-3203,"37,9",1,2,2,3,1
202402235962,1,0,0,0,0,14/12/2024,17:40,12,2024,7,2,00000,CM-3203,"42,228",2,2,2,20,2
202402235963,1,0,0,0,0,23/5/2024,22:10,5,2024,7,2,00000,AB-209,"11,859",1,2,3,2,1
202402235964,1,0,0,0,0,17/6/2024,2:00,6,2024,7,2,00000,CM-3201,"56,1",1,2,2,8,1
202402235965,1,0,0,0,0,23/7/2024,6:15,7,2024,7,2,00000,CM-3201,"44,3",2,2,2,8,1
202402235966,1,0,0,0,0,1/8/2024,6:10,8,2024,7,2,00000,CM-3201,"59,2",1,2,2,3,1
202402235967,1,0,0,0,0,27/10/2024,20:50,10,2024,7,2,00000,CM-3201,55,1,2,2,8,1
202402235968,1,0,0,0,0,16/12/2024,20:30,12,2024,7,2,00000,CM-3201,"57,2",2,2,2,8,1
202402235969,1,0,0,0,0,27/1/2024,1:15,1,2024,7,2,00000,N-322,315,1,2,1,8,1
202402235970,1,0,0,0,0,4/2/2024,7:05,2,2024,7,2,00000,N-322,"280,432",2,2,1,3,1
202402235971,1,0,0,0,0,21/2/2024,22:55,2,2024,7,2,00000,N-322,"320,2",2,2,1,8,1
202402235972,1,0,0,0,0,29/2/2024,7:30,2,2024,7,2,00000,N-322,"284,039",1,2,1,3,1
202402235973,1,0,0,0,0,7/3/2024,21:05,3,2024,7,2,00000,N-322,"271,35",2,2,1,8,1
202402235974,1,0,0,0,0,1/4/2024,8:25,4,2024,7,2,00000,N-322,"271,6",1,2,1,8,1
202402235975,1,0,0,0,0,8/4/2024,13:55,4,2024,7,2,00000,CM-412,"191,2",2,2,2,21,2
202402235976,1,0,0,0,0,11/4/2024,23:50,4,2024,7,2,00000,N-322,281,1,2,1,8,1
202402235977,1,0,0,0,0,1/5/2024,8:00,5,2024,7,2,00000,CM-412,"167,1",1,2,2,8,1
202402235978,1,0,0,0,0,19/5/2024,0:30,5,2024,7,2,00000,N-322,"303,8",2,2,1,23,2
202402235979,1,0,0,0,0,12/7/2024,17:45,7,2024,7,2,00000,N-322,"308,892",2,2,1,2,1
202402235980,1,0,0,0,0,8/8/2024,20:30,8,2024,7,2,00000,N-322,281,1,2,1,8,1
202402235981,1,0,0,0,0,11/8/2024,23:10,8,2024,7,2,00000,N-322,"316,9",2,2,1,8,1
202402235982,1,0,0,0,0,13/8/2024,7:30,8,2024,7,2,00000,N-322,"281,812",1,2,1,3,1
202402235983,1,0,0,0,0,22/8/2024,7:15,8,2024,7,2,00000,N-322,"301,267",1,2,1,3,1
202402235984,1,0,0,0,0,20/8/2024,5:00,8,2024,7,2,00000,N-322,276,1,2,1,17,1
202402235985,1,0,0,0,0,21/8/2024,22:30,8,2024,7,2,00000,N-322,"301,25",2,2,1,8,1
202402235986,1,0,0,0,0,18/9/2024,0:30,9,2024,7,2,00000,N-322,305,2,2,1,3,1
202402235987,1,0,0,0,0,19/9/2024,4:00,9,2024,7,2,00000,N-322,315,1,2,1,3,1
202402235988,1,0,0,0,0,26/9/2024,20:50,9,2024,7,2,00000,N-322,"274,5",1,2,1,23,2
202402235989,1,0,0,0,0,27/9/2024,21:20,9,2024,7,2,00000,N-322,"281,5",1,2,1,8,1
202402235990,1,0,0,0,0,7/10/2024,6:45,10,2024,7,2,00000,N-322,"294,172",1,2,1,3,1
202402235991,1,0,0,0,0,7/10/2024,10:30,10,2024,7,2,00000,N-322,"308,439",2,2,1,2,1
202402235992,1,0,0,0,0,8/10/2024,8:00,10,2024,7,2,00000,N-322,301,2,2,1,2,1
202402235993,1,0,0,0,0,18/10/2024,7:15,10,2024,7,2,00000,N-322,"280,8",1,2,1,3,1
202402235994,1,0,0,0,0,18/10/2024,16:00,10,2024,7,2,00000,AB-603,"5,85",1,2,3,0,0
202402235995,1,0,0,0,0,20/11/2024,19:30,11,2024,7,2,00000,N-322,"308,5",1,2,1,2,1
202402235996,0,1,0,0,1,30/11/2024,20:10,11,2024,7,2,00000,N-322,"314,62",2,2,1,8,1
202402235997,1,0,0,0,0,21/12/2024,19:30,12,2024,7,2,00000,N-322,320,1,2,1,8,1
202402235998,1,0,0,0,0,12/1/2024,20:20,1,2024,7,2,02009,CM-412,"342,5",1,2,2,20,2
202402235999,1,0,0,0,0,2/2/2024,21:00,2,2024,7,2,02009,A-31,147,2,1,1,20,2
202402236000,1,0,0,0,0,13/2/2024,20:20,2,2024,7,2,02009,A-31,"141,7",2,1,1,8,1
202402236001,1,0,0,0,0,10/3/2024,22:20,3,2024,7,2,02009,A-31,"140,424",1,1,1,8,1
202402236002,1,0,0,0,0,29/3/2024,21:20,3,2024,7,2,02009,N-330,"99,029",2,2,1,17,1
202402236003,1,0,0,0,0,21/4/2024,0:00,4,2024,7,2,02009,A-35,"8,2",1,1,1,5,1
202402236004,1,0,0,0,0,22/4/2024,0:05,4,2024,7,2,02009,A-31,"137,018",1,1,1,8,1
202402236005,1,0,0,0,0,1/5/2024,0:00,5,2024,7,2,02009,CM-3220,"3,5",2,2,2,8,1
202402236006,1,0,0,0,0,21/5/2024,5:55,5,2024,7,2,02009,A-35,"8,2",2,1,1,8,1
202402236007,1,0,0,0,0,25/5/2024,1:00,5,2024,7,2,02009,N-430a,"593,5",1,2,1,8,1
202402236008,1,0,0,0,0,15/6/2024,7:45,6,2024,7,2,02009,A-31,"141,5",2,1,1,20,2
202402236009,1,0,0,0,0,22/6/2024,6:15,6,2024,7,2,02009,A-31,"154,5",1,1,1,0,0
202402236010,1,0,0,0,0,20/7/2024,2:30,7,2024,7,2,02009,A-31,"163,524",1,1,1,2,1
202402236011,1,0,0,0,0,20/8/2024,6:00,8,2024,7,2,02009,N-430a,"592,221",2,2,1,8,1
202402236012,1,0,0,0,0,3/9/2024,6:10,9,2024,7,2,02009,CM-3220,2,2,2,2,4,1
202402236013,1,0,0,0,0,5/9/2024,22:15,9,2024,7,2,02009,N-430a,"591,5",1,2,1,8,1
202402236014,1,0,0,0,0,13/10/2024,2:33,10,2024,7,2,02009,A-31,154,2,1,1,8,1
202402236015,1,0,0,0,0,16/11/2024,22:20,11,2024,7,2,02009,A-31,"140,49",1,1,1,8,1
202402236016,1,0,0,0,0,5/11/2024,21:50,11,2024,7,2,02009,CM-412,336,1,2,2,8,1
202402236017,1,0,0,0,0,7/12/2024,0:30,12,2024,7,2,02009,A-35,"3,099",2,1,1,8,1
202402236018,1,0,0,0,0,13/12/2024,20:00,12,2024,7,2,02009,A-31,147,2,1,1,4,1
202402236019,1,0,0,0,0,23/1/2024,17:20,1,2024,7,2,00000,CM-3201,88,1,2,2,0,0
202402236020,1,0,0,0,0,28/3/2024,17:05,3,2024,7,2,00000,AB-216,"15,36",2,2,3,17,1
202402236021,1,0,0,0,0,2/4/2024,22:00,4,2024,7,2,00000,CM-3201,"92,1",1,2,2,17,1
202402236022,1,0,0,0,0,14/5/2024,8:05,5,2024,7,2,00000,CM-3201,97,2,2,2,0,0
202402236023,1,0,0,0,0,3/11/2024,18:30,11,2024,7,2,00000,CM-3201,"78,5",1,2,2,2,1
202402236024,1,0,0,0,0,3/3/2024,0:35,3,2024,7,2,00000,CM-3203,47,2,2,2,8,1
202402236025,1,0,0,0,0,1/4/2024,5:10,4,2024,7,2,00000,CM-3203,47,3,2,2,8,1
202402236026,1,0,0,0,0,27/3/2024,0:52,3,2024,7,2,00000,CM-3203,54,1,2,2,8,1
202402236027,1,0,0,0,0,5/4/2024,20:30,4,2024,7,2,00000,CM-3203,"58,5",1,2,2,2,1
202402236028,1,0,0,0,0,6/6/2024,6:25,6,2024,7,2,00000,CM-3203,"60,747",2,2,2,2,1
202402236029,1,0,0,0,0,3/7/2024,22:00,7,2024,7,2,00000,CM-3216,"56,5",2,2,2,3,1
202402236030,1,0,0,0,0,9/8/2024,21:45,8,2024,7,2,00000,CM-3216,"57,812",1,2,2,3,1
202402236031,1,0,0,0,0,24/8/2024,22:30,8,2024,7,2,00000,CM-3203,"47,8",2,2,2,3,1
202402236032,1,0,0,0,0,2/10/2024,6:45,10,2024,7,2,00000,AB-508,"8,8",1,2,3,8,1
202402236033,1,0,0,0,0,21/12/2024,6:45,12,2024,7,2,00000,CM-3216,"55,56",2,2,2,2,1
202402236034,1,0,0,0,0,23/5/2024,23:45,5,2024,7,2,00000,N-322,"329,9",1,2,1,8,1
202402236035,1,0,0,0,0,13/8/2024,23:20,8,2024,7,2,00000,N-322,319,1,2,1,8,1
202402236036,1,0,0,0,0,23/9/2024,7:10,9,2024,7,2,00000,N-322,"332,312",1,2,1,8,1
202402236037,1,0,0,0,0,10/4/2024,22:00,4,2024,7,2,00000,CM-3207,"18,5",1,2,2,8,1
202402236038,1,0,0,0,0,17/1/2024,22:25,1,2024,7,2,00000,CM-3133,"20,8",1,2,2,8,1
202402236039,1,0,0,0,0,24/4/2024,21:55,4,2024,7,2,00000,CM-3133,"33,1",2,2,2,3,1
202402236040,1,0,0,0,0,17/8/2024,0:50,8,2024,7,2,00000,AB-602,"5,8",2,2,3,8,1
202402236041,1,0,0,0,0,27/12/2024,19:00,12,2024,7,2,00000,AB-602,"6,3",1,2,3,3,1
202402236042,1,0,0,0,0,30/6/2024,1:00,6,2024,7,2,00000,N-430,"483,3",2,2,1,20,2
202402236043,1,0,0,0,0,15/9/2024,1:30,9,2024,7,2,02069,CM-3121,"34,102",2,2,2,8,1
202402236044,1,0,0,0,0,23/12/2024,18:45,12,2024,7,2,00000,N-430,"488,4",2,2,1,8,1
202402236045,1,0,0,0,0,30/12/2024,20:18,12,2024,7,2,00000,N-430,"491,1",2,2,1,8,1
202402236046,1,0,0,0,0,24/9/2024,22:00,9,2024,7,2,00000,N-322,"254,4",2,2,1,3,1
202402236047,1,0,0,0,0,26/10/2024,22:20,10,2024,7,2,00000,CM-3205,"1,5",1,2,2,8,1
202402236048,1,0,0,0,0,13/12/2024,21:50,12,2024,7,2,00000,N-322,249,2,2,1,8,1
202402236049,1,0,0,0,0,4/5/2024,22:15,5,2024,7,2,00000,CM-3216,47,2,2,2,8,1
202402236050,1,0,0,0,0,10/8/2024,7:00,8,2024,7,2,00000,CM-3216,"40,8",1,2,2,8,1
202402236051,1,0,0,0,0,24/11/2024,23:45,11,2024,7,2,00000,CM-3216,42,1,2,2,8,1
202402236052,1,0,0,0,0,23/12/2024,20:20,12,2024,7,2,00000,CM-3216,"41,9",1,2,2,0,0
202402236053,1,0,0,0,0,27/12/2024,13:45,12,2024,7,2,00000,CM-3216,39,1,2,2,8,1
202402236054,1,0,0,0,0,27/3/2024,18:30,3,2024,7,2,00000,CM-3201,"94,5",1,2,2,17,1
202402236055,1,0,0,0,0,31/3/2024,23:30,3,2024,7,2,00000,CM-3209,"39,5",1,2,2,8,1
202402236056,1,0,0,0,0,11/4/2024,0:40,4,2024,7,2,00000,A-31,"118,624",1,1,1,8,1
202402236057,1,0,0,0,0,19/4/2024,15:15,4,2024,7,2,00000,CM-3201,"94,6",2,2,2,0,0
202402236058,1,0,0,0,0,16/7/2024,23:06,7,2024,7,2,00000,CM-3201,"93,9",1,2,2,8,1
202402236059,1,0,0,0,0,28/7/2024,1:45,7,2024,7,2,00000,A-31,"117,742",1,1,1,8,1
202402236060,1,0,0,0,0,29/8/2024,7:45,8,2024,7,2,00000,A-31,127,2,1,1,17,1
202402236061,1,0,0,0,0,4/11/2024,1:20,11,2024,7,2,00000,A-31,"129,451",2,1,1,3,1
202402236062,1,0,0,0,0,13/12/2024,21:00,12,2024,7,2,00000,CM-3201,"95,833",2,2,2,8,1
202402236063,1,0,0,0,0,13/1/2024,10:45,1,2024,7,2,00000,CM-313,"35,1",2,2,2,3,1
202402236064,1,0,0,0,0,11/1/2024,8:10,1,2024,7,2,00000,CM-313,"33,3",1,2,2,8,1
202402236065,1,0,0,0,0,16/1/2024,23:30,1,2024,7,2,00000,AB-609,"1,5",1,2,3,17,1
202402236066,1,0,0,0,0,30/1/2024,7:45,1,2024,7,2,00000,CM-3133,"9,582",1,2,2,1,1
202402236067,1,0,0,0,0,7/2/2024,0:30,2,2024,7,2,00000,N-430,"439,2",1,2,1,8,1
202402236068,1,0,0,0,0,13/2/2024,13:45,2,2024,7,2,00000,N-430,437,1,2,1,1,1
202402236069,1,0,0,0,0,6/3/2024,20:30,3,2024,7,2,00000,CM-313,"36,2",1,2,2,3,1
202402236070,1,0,0,0,0,25/3/2024,15:20,3,2024,7,2,00000,CM-3133,"4,5",2,2,2,18,1
202402236071,1,0,0,0,0,8/4/2024,20:45,4,2024,7,2,00000,CM-313,"33,7",2,2,2,8,1
202402236072,1,0,0,0,0,18/4/2024,13:45,4,2024,7,2,00000,CM-3133,"7,1",2,2,2,1,1
202402236073,1,0,0,0,0,22/4/2024,9:10,4,2024,7,2,00000,AB-609,"2,5",2,2,3,18,1
202402236074,1,0,0,0,0,12/5/2024,7:15,5,2024,7,2,00000,CM-313,"36,5",2,2,2,3,1
202402236075,1,0,0,0,0,23/5/2024,23:40,5,2024,7,2,00000,N-430,441,2,2,1,8,1
202402236076,1,0,0,0,0,28/5/2024,5:55,5,2024,7,2,00000,CM-313,"29,8",2,2,2,3,1
202402236077,1,0,0,0,0,26/5/2024,22:00,5,2024,7,2,00000,N-430,442,1,2,1,8,1
202402236078,1,0,0,0,0,20/6/2024,7:00,6,2024,7,2,00000,N-430,443,1,2,1,8,1
202402236079,1,0,0,0,0,20/6/2024,23:00,6,2024,7,2,00000,CM-313,"30,37",2,2,2,8,1
202402236080,1,0,0,0,0,1/7/2024,5:30,7,2024,7,2,00000,N-430,"443,5",2,2,1,8,1
202402236081,1,0,0,0,0,1/7/2024,8:00,7,2024,7,2,00000,CM-3133,9,1,2,2,18,1
202402236082,1,0,0,0,0,20/7/2024,23:55,7,2024,7,2,00000,N-430,441,2,2,1,3,1
202402236083,1,0,0,0,0,7/9/2024,6:50,9,2024,7,2,00000,CM-313,32,1,2,2,3,1
202402236084,1,0,0,0,0,8/10/2024,23:00,10,2024,7,2,00000,N-430,"438,849",1,2,1,8,1
202402236085,1,0,0,0,0,27/10/2024,21:40,10,2024,7,2,00000,CM-313,"33,5",2,2,2,8,1
202402236086,1,0,0,0,0,31/10/2024,7:15,10,2024,7,2,00000,CM-3168,"4,8",1,2,2,3,1
202402236087,1,0,0,0,0,3/11/2024,19:50,11,2024,7,2,00000,N-430,441,1,2,1,8,1
202402236088,1,0,0,0,0,1/12/2024,20:55,12,2024,7,2,00000,CM-3133,"19,5",2,2,2,8,1
202402236089,1,0,0,0,0,12/12/2024,0:50,12,2024,7,2,00000,AB-607,6,2,2,3,8,1
202402236090,1,0,0,0,0,29/12/2024,1:00,12,2024,7,2,00000,CM-3168,7,1,2,2,8,1
202402236091,1,0,0,0,0,28/1/2024,18:50,1,2024,7,2,00000,CM-332,"51,765",2,2,2,3,1
202402236092,1,0,0,0,0,3/8/2024,5:30,8,2024,7,2,00000,CM-332,"47,594",2,2,2,3,1
202402236093,1,0,0,0,0,6/8/2024,1:30,8,2024,7,2,00000,CM-332,51,1,2,2,3,1
202402236094,1,0,0,0,0,29/8/2024,6:35,8,2024,7,2,00000,CM-332,"40,6",1,2,2,3,1
202402236095,1,0,0,0,0,11/11/2024,7:30,11,2024,7,2,00000,CM-332,"50,9",1,2,2,5,1
202402236096,1,0,0,0,0,21/12/2024,8:40,12,2024,7,2,00000,CM-332,"47,729",1,2,2,3,1
202402236097,1,0,0,0,0,9/9/2024,22:40,9,2024,7,2,00000,AB-204,"27,36",1,2,3,8,1
202402236098,1,0,0,0,0,22/9/2024,23:25,9,2024,7,2,00000,CM-332,"16,172",1,2,2,8,1
202402236099,1,0,0,0,0,11/11/2024,12:25,11,2024,7,2,00000,CM-332,29,1,2,2,20,2
202402236100,1,0,0,0,0,15/1/2024,8:15,1,2024,7,2,00000,AB-5023,5,2,2,3,3,1
202402236101,1,0,0,0,0,8/11/2024,6:30,11,2024,7,2,00000,CM-3207,"9,443",1,2,2,8,1
202402236102,1,0,0,0,0,23/11/2024,18:50,11,2024,7,2,00000,CM-3207,17,2,2,2,8,1
202402236103,1,0,0,0,0,22/4/2024,2:00,4,2024,7,2,00000,N-322,"403,6",1,2,1,16,1
202402236104,1,0,0,0,0,19/1/2024,20:50,1,2024,7,2,02025,AB-3004,3,2,2,3,8,1
202402236105,1,0,0,0,0,25/1/2024,0:15,1,2024,7,2,02025,AB-3004,"3,5",1,2,3,8,1
202402236106,1,0,0,0,0,11/5/2024,21:50,5,2024,7,2,02025,N-344,"110,683",2,2,1,8,1
202402236107,1,0,0,0,0,7/6/2024,1:15,6,2024,7,2,02025,AB-303,"4,2",2,2,3,8,1
202402236108,1,0,0,0,0,25/9/2024,8:55,9,2024,7,2,02025,A-33,71,2,1,1,20,2
202402236109,1,0,0,0,0,22/2/2024,7:00,2,2024,7,2,00000,AB-107,"5,6",1,2,3,16,1
202402236110,1,0,0,0,0,9/9/2024,6:30,9,2024,7,2,00000,AB-301,"15,475",1,2,3,8,1
202402236111,1,0,0,0,0,3/1/2024,19:00,1,2024,7,2,00000,CM-3211,1,1,2,2,8,1
202402236112,1,0,0,0,0,9/1/2024,21:00,1,2024,7,2,00000,A-31,"93,507",2,1,1,20,2
202402236113,1,0,0,0,0,12/1/2024,22:20,1,2024,7,2,00000,CM-3211,12,2,2,2,8,1
202402236114,1,0,0,0,0,10/1/2024,19:30,1,2024,7,2,00000,CV-67,3,2,2,3,8,1
202402236115,1,0,0,0,0,17/1/2024,11:20,1,2024,7,2,00000,A-31,91,1,1,1,20,2
202402236116,1,0,0,0,0,11/2/2024,21:55,2,2024,7,2,00000,CM-332,15,2,2,2,8,1
202402236117,1,0,0,0,0,18/2/2024,19:45,2,2024,7,2,00000,CM-332,"13,5",1,2,2,8,1
202402236118,1,0,0,0,0,23/2/2024,21:45,2,2024,7,2,00000,A-31,"100,5",1,1,1,8,1
202402236119,1,0,0,0,0,26/2/2024,0:10,2,2024,7,2,00000,A-31,103,2,1,1,8,1
202402236120,1,0,0,0,0,28/2/2024,22:25,2,2024,7,2,00000,A-31,"105,368",2,1,1,8,1
202402236121,1,0,0,0,0,2/3/2024,0:45,3,2024,7,2,00000,A-31,108,1,1,1,17,1
202402236122,1,0,0,0,0,15/3/2024,2:20,3,2024,7,2,00000,CM-3211,"12,5",2,2,2,8,1
202402236123,1,0,0,0,0,22/3/2024,21:28,3,2024,7,2,00000,CM-332,"17,726",1,2,2,8,1
202402236124,1,0,0,0,0,29/3/2024,20:20,3,2024,7,2,00000,A-31,100,2,1,1,20,2
202402236125,1,0,0,0,0,28/3/2024,20:40,3,2024,7,2,00000,CM-3211,"11,2",1,2,2,8,1
202402236126,1,0,0,0,0,9/4/2024,0:30,4,2024,7,2,00000,CM-3211,"4,922",1,2,2,8,1
202402236127,1,0,0,0,0,21/4/2024,20:00,4,2024,7,2,00000,A-31,"90,9",2,1,1,2,1
202402236128,1,0,0,0,0,24/4/2024,23:15,4,2024,7,2,00000,CM-3211,"13,381",1,2,2,8,1
202402236129,1,0,0,0,0,4/5/2024,7:00,5,2024,7,2,00000,A-31,"95,5",2,1,1,5,1
202402236130,1,0,0,0,0,16/5/2024,4:50,5,2024,7,2,00000,A-31,85,1,1,1,8,1
202402236131,1,0,0,0,0,27/5/2024,23:25,5,2024,7,2,00000,A-31,"109,32",1,1,1,8,1
